Datetime,Predicted_Energy
2018-08-03 01:00:00,5127.248138963567
2018-08-03 02:00:00,4855.470070368588
2018-08-03 03:00:00,4695.6987669055
2018-08-03 04:00:00,4601.829526359938
2018-08-03 05:00:00,4617.188497679379
2018-08-03 06:00:00,4794.018013272959
2018-08-03 07:00:00,5128.736103236552
2018-08-03 08:00:00,5388.603298721173
2018-08-03 09:00:00,5663.756841240552
2018-08-03 10:00:00,5963.9034104167085
2018-08-03 11:00:00,6241.957567992529
2018-08-03 12:00:00,6480.454124141734
2018-08-03 13:00:00,6669.186482527873
2018-08-03 14:00:00,6832.605650218109
2018-08-03 15:00:00,6930.895557211912
2018-08-03 16:00:00,6978.618465303406
2018-08-03 17:00:00,7035.128245621056
2018-08-03 18:00:00,6964.897415631674
2018-08-03 19:00:00,6788.421702286943
2018-08-03 20:00:00,6566.39498874128
2018-08-03 21:00:00,6465.257966841867
2018-08-03 22:00:00,6280.941523258836
2018-08-03 23:00:00,5831.803838629016
2018-08-04 00:00:00,5343.810682018508
2018-08-04 01:00:00,4925.466201378728
2018-08-04 02:00:00,4645.066202866301
2018-08-04 03:00:00,4468.469737429983
2018-08-04 04:00:00,4359.144349446084
2018-08-04 05:00:00,4307.996636506564
2018-08-04 06:00:00,4353.268543037437
2018-08-04 07:00:00,4430.2468491766285
2018-08-04 08:00:00,4609.518998280455
2018-08-04 09:00:00,4967.012473049644
2018-08-04 10:00:00,5343.622957069556
2018-08-04 11:00:00,5678.3441976256845
2018-08-04 12:00:00,5920.003310516793
2018-08-04 13:00:00,6109.7614270729655
2018-08-04 14:00:00,6248.133118915623
2018-08-04 15:00:00,6330.361109169983
2018-08-04 16:00:00,6413.666751626687
2018-08-04 17:00:00,6489.0944198908555
2018-08-04 18:00:00,6483.214868393417
2018-08-04 19:00:00,6335.235870122149
2018-08-04 20:00:00,6119.822489200917
2018-08-04 21:00:00,6060.475443398613
2018-08-04 22:00:00,5904.690606247285
2018-08-04 23:00:00,5505.719496773269
2018-08-05 00:00:00,5064.634331654563
2018-08-05 01:00:00,4686.439100887088
2018-08-05 02:00:00,4437.03898460364
2018-08-05 03:00:00,4261.003324752064
2018-08-05 04:00:00,4145.927274351608
2018-08-05 05:00:00,4097.994404771294
2018-08-05 06:00:00,4110.525433102916
2018-08-05 07:00:00,4143.401338671567
2018-08-05 08:00:00,4287.41204729904
2018-08-05 09:00:00,4645.747531668109
2018-08-05 10:00:00,5022.662375117113
2018-08-05 11:00:00,5354.134989168049
2018-08-05 12:00:00,5632.211644590112
2018-08-05 13:00:00,5868.030443674239
2018-08-05 14:00:00,6027.884948692032
2018-08-05 15:00:00,6146.474691209812
2018-08-05 16:00:00,6276.145540443907
